UTC,x_coord,y_coord,click,scroll
2022-08-15 01:50:02.521232,1485,-509,None,None
2022-08-15 01:50:02.522230,1486,-511,None,None
2022-08-15 01:50:02.522230,1487,-513,None,None
2022-08-15 01:50:02.523225,1489,-515,None,None
2022-08-15 01:50:02.524223,1490,-516,None,None
2022-08-15 01:50:02.525223,1491,-518,None,None
2022-08-15 01:50:02.526221,1493,-519,None,None
2022-08-15 01:50:02.527220,1495,-521,None,None
2022-08-15 01:50:02.529214,1496,-523,None,None
2022-08-15 01:50:02.529214,1497,-525,None,None
2022-08-15 01:50:02.591046,1497,-526,None,None
2022-08-15 01:50:02.592048,1497,-527,None,None
2022-08-15 01:50:02.593040,1498,-528,None,None
2022-08-15 01:50:02.594035,1498,-529,None,None
2022-08-15 01:50:02.595033,1498,-531,None,None
2022-08-15 01:50:02.595033,1499,-531,None,None
2022-08-15 01:50:02.596033,1499,-532,None,None
2022-08-15 01:50:02.597027,1499,-533,None,None
2022-08-15 01:50:02.598025,1499,-534,None,None
2022-08-15 01:50:02.599022,1499,-535,None,None
2022-08-15 01:50:02.600018,1499,-536,None,None
2022-08-15 01:50:02.602014,1499,-538,None,None
2022-08-15 01:50:02.604008,1499,-540,None,None
2022-08-15 01:50:02.607000,1498,-541,None,None
2022-08-15 01:50:02.607998,1498,-542,None,None
2022-08-15 01:50:02.610014,1498,-543,None,None
2022-08-15 01:50:02.610989,1497,-544,None,None
2022-08-15 01:50:02.613981,1496,-545,None,None
2022-08-15 01:50:02.616977,1495,-545,None,None
2022-08-15 01:50:02.617982,1495,-546,None,None
2022-08-15 01:50:02.618971,1494,-546,None,None
2022-08-15 01:50:02.619966,1494,-547,None,None
2022-08-15 01:50:02.620965,1494,-548,None,None
2022-08-15 01:50:02.622958,1494,-549,None,None
2022-08-15 01:50:02.625377,1494,-550,None,None
2022-08-15 01:50:02.627333,1494,-551,None,None
2022-08-15 01:50:02.628328,1494,-552,None,None
2022-08-15 01:50:02.630323,1494,-553,None,None
2022-08-15 01:50:02.631321,1494,-554,None,None
2022-08-15 01:50:02.633357,1494,-555,None,None
2022-08-15 01:50:02.634311,1494,-556,None,None
2022-08-15 01:50:02.635309,1494,-557,None,None
2022-08-15 01:50:02.636305,1494,-558,None,None
2022-08-15 01:50:02.638795,1494,-559,None,None
2022-08-15 01:50:02.639551,1494,-560,None,None
2022-08-15 01:50:02.640558,1495,-561,None,None
2022-08-15 01:50:02.642795,1495,-562,None,None
2022-08-15 01:50:02.643405,1496,-563,None,None
2022-08-15 01:50:02.645802,1496,-565,None,None
2022-08-15 01:50:02.646802,1497,-565,None,None
2022-08-15 01:50:02.647799,1497,-566,None,None
2022-08-15 01:50:02.648796,1497,-567,None,None
2022-08-15 01:50:02.649795,1498,-567,None,None
2022-08-15 01:50:02.650792,1498,-568,None,None
2022-08-15 01:50:02.651800,1499,-569,None,None
2022-08-15 01:50:02.653475,1500,-570,None,None
